license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-3035,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-1650,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2355,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-4023,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2581,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3167,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2950,Anoka
,,,Home and Community Based Services,Closed as of 09/05/2025,,Blaine,MN,55434-2539,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-3515,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-1667,Anoka
,,,Child Care Center,Active,,Blaine,MN,55434-5000,Anoka
,,,Child Care Center,Active,,Blaine,MN,55434-4153,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-1708,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2715,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-4503,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2509,Anoka
,,,Home and Community Based Services,Active,,Edina,MN,55435-4469,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5135,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55435-5832,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5216,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-2600,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5166,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-2292,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-4494,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-4805,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-5244,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55435-4137,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-5942,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-4802,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55435-1810,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-4102,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55435-5408,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-7000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55435-5866,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55435-1548,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55435-5930,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55435-0000,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-4441,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5133,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55435-5427,Hennepin
,,,Substance Use Disorder Treatment,Active,,Edina,MN,55435-1808,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-1878,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-1810,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55435-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55435-1878,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55435-4701,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-2305,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55435-5408,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5134,Hennepin
,,,Child Care Center,Active,,Edina,MN,55435-5113,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55435-5188,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55436-2315,Hennepin
,,,Child Care Center,Active,,Edina,MN,55436-2200,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55436-2501,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55436-2017,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55436-0000,Hennepin
,,,Family Child Care,Active,,Edina,MN,55436-2421,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55436-2448,Hennepin
,,,Child Care Center,Active,,Edina,MN,55436-2633,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55436-2350,Hennepin
,,,Child Care Center,Active,,Edina,MN,55436-2363,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55436-2127,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Closed as of 08/10/2025,,Edina,MN,55436,Hennepin
,,,Adult Day Care Services,Pending Reopening as of 11/01/2025,,Edina,MN,55436-1606,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55436-1673,Hennepin
,,,Child Care Center,Active,,Edina,MN,55436-1910,Hennepin
,,,Family Adult Day Services,Active,,Edina,MN,55436-2402,Hennepin
,,,Home and Community Based Services,Closed as of 09/17/2025,,Bloomington,MN,55437-3843,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-1270,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2921,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55437-2323,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2925,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2614,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2723,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55437-1353,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55437-2857,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55437-2040,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55437-1911,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55437-1933,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55437-3805,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55437-2052,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55437-2610,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55437-1337,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55437-1910,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-1806,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-1811,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-1332,Hennepin
,,,Family Child Care,Closed as of 11/18/2025,,Bloomington,MN,55437-2986,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55437,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-1500,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Minneapolis,MN,55437-2930,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55437-2018,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Bloomington,MN,55437-2038,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Bloomington,MN,55437-2766,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55437-2347,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2811,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-3440,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-2559,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55437-1562,Hennepin
,,,Child Care Center,Pending Reopening as of 08/15/2025,,Bloomington,MN,55437-3404,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55437-1940,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55437-3251,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55438-1934,Hennepin
,,,Family Child Care,Closed as of 09/01/2025,,Bloomington,MN,55438-1355,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55438-1983,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55438-0000,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55438-2240,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55438-2393,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Revoked as of 10/16/2025,,Bloomington,MN,55438-2169,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55438-2126,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55438-2324,Hennepin
,,,Adult Day Care Services,Active,,Bloomington,MN,55438,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439-1631,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55439-3113,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55439-3111,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-3005,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55439-3167,Hennepin
,,,Family Child Care,Active,,Edina,MN,55439-1244,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2018,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2326,Hennepin
,,,Certified Child Care Center,Active,,Edina,MN,55439-1124,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439-2101,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55439-2430,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55439-0000,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2302,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55439-3115,Hennepin
,,,Family Child Care,Active,,Edina,MN,55439-1414,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2212,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2352,Hennepin
,,,Home and Community Based Services,Conditional Order issued /under Appeal/May Operate as of 09/11/2025,,Minneapolis,MN,55439-2301,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439-1130,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2321,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439-2373,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2918,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-2316,Hennepin
,,,Child Care Center,Active,,Edina,MN,55439-2403,Hennepin
,,,Home and Community Based Services,Active,,Edina,MN,55439-1139,Hennepin
